movie_info_ID,title,year,imdb_score,original_language,budget,revenue,country
5311,Entrapment (1999),1999,62,English,66000000,211700000,AU
5312,Yesterday (2019),2019,67,English,26000000,88092097,AU
5313,Blue Velvet (1987),1987,76,English,6000000,8618766,AU
5314,My Lovely Angel (2021),2021,73,Korean,71400000,751654707,KR
5315,Ben 10 Alien Swarm (2009),2009,62,English,40000000,146438118,US
5316,Yojimbo (2000),2000,81,Japanese,80660000,358911689,AU
5317,Stalker (1979),1979,82,Russian,120000,80164422,SU
5318,Transformers: Dark of the Moon (2011),2011,62,English,195000000,1123794079,AU
5319,Koichiro Uno's Caressing the Peach (1985),1985,0,Japanese,167540000,175269998,JP
5320,The Death of the Incredible Hulk (1990),1990,50,English,139200000,398272687,US
5321,Zombie Strippers! (2008),2008,48,English,109000000,863034975,US
5322,Love in the Maldives (2023),2023,60,English,97600000,800516044,US
5323,Advanced Prostitute (2021),2021,0,Korean,174600000,175269998,KR
5324,The Illusionist (2007),2007,73,English,16500000,83792062,AU
5325,Barbie & Her Sisters in a Puppy Chase (2016),2016,69,English,108000000,533517647,US
5326,I Care a Lot (2021),2021,66,English,97000000,616021731,AU
5327,Till Death (2021),2021,68,English,51489867,495268,AU
5328,Railway Heroes (2021),2021,70,Chinese,100600000,582164601,CN
5329,The Machinist (2005),2005,75,English,5000000,8655397,AU
5330,The Man in the Iron Mask (1998),1998,66,English,35000000,56968169,AU
5331,Operation Mincemeat (2022),2022,65,English,6300000,15607881,AU
5332,Everly (2015),2015,55,English,5440000,358156,AU
5333,BLACKPINK: Light Up the Sky (2020),2020,83,Korean,107800000,575059686,US
5334,Cici (2022),2022,60,Turkish,73800000,346352260,TR
5335,The Second Wife (1998),1998,53,Italian,119050080,513557670,IT
5336,The Island (2005),2005,67,English,120000000,163018913,AU
5338,L.O.R.D: Legend of Ravaging Dynasties (2016),2016,71,Chinese,102800000,378633011,AU
5339,Barbie: A Perfect Christmas (2011),2011,67,English,112800000,356126924,AU
5340,Anger Management (2003),2003,61,English,56000000,195484552,US
5341,Peter Pan & Wendy (2023),2023,0,English,213000000,175269998,US
5342,Mortdecai (2015),2015,55,English,60000000,30396134,AU
5343,Kizumonogatari Part 2: Nekketsu (2016),2016,81,Japanese,60380000,1225860042,JP
5344,Tales from Earthsea (2007),2007,66,Japanese,22000000,68625104,AU
5345,Pete's Dragon (2016),2016,64,English,65000000,143695338,AU
5346,Prey (2021),2021,47,German,65000000,0,US
5347,Sex and the Central (2003),2003,25,Cantonese,9541040,38139010,HK
5348,Beautiful Minds (2022),2022,74,French,6839792,3358402,FR
5349,L.A. Confidential (1997),1997,78,English,35000000,126204977,AU
5350,Changeling (2008),2008,76,English,55000000,113805580,AU
5351,Urusei Yatsura: Only You (1983),1983,64,Japanese,82400000,421156804,JP
5352,Triple 9 (2016),2016,59,English,20000000,25943792,AU
5353,Masters of the Universe (1987),1987,57,English,22000000,17336370,AU
5354,Cheaper by the Dozen 2 (2005),2005,61,English,60000000,135015330,AU
5355,The Lives of Others (2007),2007,80,German,2000000,70000000,AU
5356,Boyhood (2014),2014,75,English,4000000,57273049,AU
5357,Satan's Slaves 2: Communion (2022),2022,74,Indonesian,85200000,425925076,US
